Date,Open,High,Low,Close
28-Sep-11,16663.26,16663.26,16363.63,16446.02
29-Sep-11,16387.91,16756.08,16316.66,16698.07
30-Sep-11,16599.74,16745.16,16404.78,16453.76
03-Oct-11,16255.97,16255.97,16056.33,16151.45
04-Oct-11,16081.77,16202.38,15745.43,15864.86
05-Oct-11,15967.72,16044.91,15760.53,15792.41
07-Oct-11,16222.49,16347.48,16148.97,16232.54
10-Oct-11,16270.07,16595.93,16230.77,16557.23
11-Oct-11,16668.15,16774.12,16510.71,16536.47
12-Oct-11,16660.43,16987.06,16608.57,16958.39
13-Oct-11,17048,17084.07,16854.03,16883.92
14-Oct-11,16836.83,17112.45,16828.45,17082.69
17-Oct-11,17176.05,17188.55,16928.38,17025.09
18-Oct-11,16817.38,16824.76,16669.04,16748.29
19-Oct-11,16883.36,17106.99,16874.34,17085.34
20-Oct-11,16911.85,16962.06,16744.99,16936.89
21-Oct-11,16975.79,17032.32,16752.21,16785.64
24-Oct-11,17011.06,17104.88,16898.6,16939.28
25-Oct-11,17012.79,17322.13,16900.26,17254.86
26-Oct-11,17336.34,17350.49,17273.52,17288.83
28-Oct-11,17671.86,17908.13,17671.86,17804.8
31-Oct-11,17806.21,17813.11,17668.27,17705.01
01-Nov-11,17540.55,17661.78,17422.47,17480.83
02-Nov-11,17347.7,17615.92,17337.65,17464.85
03-Nov-11,17430.69,17527.1,17278.03,17481.93
04-Nov-11,17674.7,17702.26,17474.39,17562.61
08-Nov-11,17593.67,17632.23,17455.22,17569.53
09-Nov-11,17641.98,17658.34,17331.23,17362.1
11-Nov-11,17187.89,17279.23,17096.84,17192.82
14-Nov-11,17348.52,17391.99,17094.43,17118.74
15-Nov-11,17081.62,17172.09,16837.56,16882.67
16-Nov-11,16872.3,16878.3,16641.65,16775.87
17-Nov-11,16754.68,16807.15,16408.5,16461.71
18-Nov-11,16387.7,16396.69,16164.99,16371.51
21-Nov-11,16297.03,16297.03,15900.3,15946.1
22-Nov-11,15995.69,16212.95,15970.11,16065.42
23-Nov-11,15969.6,15969.6,15478.69,15699.97
24-Nov-11,15715.81,15901.3,15479.97,15858.49
25-Nov-11,15781.25,15891.05,15645.78,15695.43
28-Nov-11,15890.8,16186.68,15888.28,16167.13
29-Nov-11,16210.37,16210.37,15952.54,16008.34
30-Nov-11,15868.96,16179.56,15849.57,16123.46
01-Dec-11,16555.93,16718.11,16430.61,16483.45
02-Dec-11,16493.98,16888.84,16428.66,16846.83
05-Dec-11,16812.3,16863.1,16691.21,16805.33
07-Dec-11,16830.04,17003.71,16781.62,16877.06
08-Dec-11,16819.74,16847.82,16421.55,16488.24
09-Dec-11,16258.44,16382.57,16142.32,16213.46
12-Dec-11,16354.96,16360.32,15839.96,15870.35
13-Dec-11,15778.62,16079.38,15771.59,16002.51
14-Dec-11,15963.75,16133.41,15855.12,15881.14
15-Dec-11,15739.05,15908.02,15596.22,15836.47
16-Dec-11,15868.78,16068.9,15425.2,15491.35
19-Dec-11,15440.1,15440.1,15190.74,15379.34
20-Dec-11,15436.12,15448.13,15135.86,15175.08
21-Dec-11,15487.75,15727.31,15377.04,15685.21
22-Dec-11,15546.66,15834.63,15472.7,15813.36
23-Dec-11,15863.43,15911.23,15671.28,15738.7
26-Dec-11,15782.17,15998.44,15761.18,15970.75
27-Dec-11,15983.98,16049.12,15799.63,15873.95
28-Dec-11,15854.36,15887.8,15666.46,15727.85
29-Dec-11,15658.94,15724.6,15515.44,15543.93
30-Dec-11,15583.55,15694.05,15406.93,15454.92
02-Jan-12,15534.67,15542.85,15358.02,15517.92
03-Jan-12,15640.56,15970.31,15640.56,15939.36
04-Jan-12,15967.49,16004.69,15822.32,15882.64
05-Jan-12,15893.07,15980.17,15809.31,15857.08
06-Jan-12,15789.08,16001.31,15664.91,15867.73
07-Jan-12,15893.3,15900.3,15835.29,15848.8
09-Jan-12,15840.22,15871.51,15678.3,15814.72
10-Jan-12,15898.32,16180.97,15898.32,16165.09
11-Jan-12,16222.37,16244.7,16127.77,16175.86
12-Jan-12,16117.19,16178.58,15962.59,16037.51
13-Jan-12,16144.57,16257.34,16049.78,16154.62
16-Jan-12,16086.74,16214.36,16037.6,16189.36
17-Jan-12,16270.87,16501.38,16270.87,16466.05
18-Jan-12,16502.42,16517.96,16384.48,16451.47
19-Jan-12,16573.87,16662.06,16572.1,16643.74
20-Jan-12,16745.01,16788.48,16611.71,16739.01
23-Jan-12,16667.02,16784,16659.32,16751.73
24-Jan-12,16806.72,17050.32,16770.01,16995.77
25-Jan-12,17068.85,17130.24,17016.69,17077.18
27-Jan-12,17201.33,17258.97,17106.57,17233.98
30-Jan-12,17138.04,17138.04,16828.33,16863.3
31-Jan-12,16965.58,17238.99,16965.58,17193.55
01-Feb-12,17179.64,17327.21,17061.55,17300.58
02-Feb-12,17438.07,17504.25,17308.28,17431.85
03-Feb-12,17444.25,17630.53,17382.7,17604.96
06-Feb-12,17741.91,17829.72,17595.1,17707.31
07-Feb-12,17813.74,17832.04,17582.49,17622.45
08-Feb-12,17631.69,17809.21,17579.59,17707.32
09-Feb-12,17647.8,17879.46,17609.43,17830.75
10-Feb-12,17817.59,17890.11,17627.14,17748.69
13-Feb-12,17761.7,17849.64,17665.89,17772.84
14-Feb-12,17767.46,17890.33,17742.58,17848.57
15-Feb-12,18000.3,18231.35,18000.3,18202.41
16-Feb-12,18163.05,18182.78,18043.32,18153.99
17-Feb-12,18331.2,18423.06,18234.56,18289.35
21-Feb-12,18303.73,18470.86,18293.8,18428.61
22-Feb-12,18490.87,18523.78,18095.81,18145.25
23-Feb-12,18127.35,18249.53,18005.28,18078.5
24-Feb-12,18079.01,18198.15,17848.93,17923.57
27-Feb-12,17975.19,17975.19,17381.64,17445.75
28-Feb-12,17545.11,17776.82,17530.44,17731.12
29-Feb-12,17919.93,18001.35,17677.97,17752.68
01-Mar-12,17714.62,17717.53,17463.27,17583.97
02-Mar-12,17661.39,17731.88,17504.38,17636.8
03-Mar-12,17648.47,17676.83,17617.88,17636.99
05-Mar-12,17598.42,17598.42,17312.3,17362.87
06-Mar-12,17336.64,17691.96,17128.28,17173.29
07-Mar-12,17127.18,17239.35,17008.77,17145.52
09-Mar-12,17325.82,17531.62,17325.82,17503.24
12-Mar-12,17772.1,17772.1,17494.65,17587.67
13-Mar-12,17680.23,17842.92,17680.23,17813.62
14-Mar-12,18003.15,18040.69,17837.22,17919.3
15-Mar-12,17916.85,17918.25,17622.13,17675.85
16-Mar-12,17656.81,17871,17426.58,17466.2
19-Mar-12,17531.47,17561.46,17226.43,17273.37
20-Mar-12,17308.89,17410.13,17211.73,17316.18
21-Mar-12,17301.16,17622.87,17275.88,17601.71
22-Mar-12,17586.06,17687.01,17136.5,17196.47
23-Mar-12,17257.72,17458.35,17179.33,17361.74
26-Mar-12,17377.59,17377.59,17021.85,17052.78
27-Mar-12,17209.13,17366.84,17061.16,17257.36
28-Mar-12,17234.48,17245.82,17040.12,17121.62
29-Mar-12,17039.85,17109.35,16920.61,17058.61
30-Mar-12,17117.41,17439.51,17105.22,17404.2
02-Apr-12,17429.96,17529.98,17382.38,17478.15
03-Apr-12,17576.21,17664.1,17570.01,17597.42
04-Apr-12,17553.26,17553.26,17436.6,17486.02
09-Apr-12,17407.66,17407.66,17199.63,17222.14
10-Apr-12,17259.26,17274.69,17135.76,17243.84
11-Apr-12,17125.96,17319.15,17075.89,17199.4
12-Apr-12,17276.87,17395.15,17276.87,17332.62
13-Apr-12,17232.56,17398.22,17027.3,17094.51
16-Apr-12,17047.87,17173.06,17010.16,17150.95
17-Apr-12,17200.97,17381.92,17103.36,17357.94
18-Apr-12,17447.26,17522.8,17371.93,17392.39
19-Apr-12,17432.89,17530.3,17361.71,17503.71
20-Apr-12,17459.72,17519.88,17231.34,17373.84
23-Apr-12,17347.76,17444.18,17056.77,17096.68
24-Apr-12,17154.75,17247.53,17046.72,17207.29
25-Apr-12,17225.54,17249.61,17019.24,17151.29
26-Apr-12,17191.02,17193.25,17084.05,17130.67
27-Apr-12,17145.39,17242.15,17022.09,17134.25
28-Apr-12,17134.19,17212.36,17125.88,17187.34
30-Apr-12,17195.51,17359.18,17195.51,17318.81
02-May-12,17370.93,17432.33,17265.48,17301.91
03-May-12,17271.77,17271.77,17120.86,17151.19
04-May-12,17066.84,17121.37,16776.72,16831.08
07-May-12,16620.44,16944.13,16513.77,16912.71
08-May-12,16915.71,16918.31,16502.91,16546.18
09-May-12,16436.41,16615.74,16422.93,16479.58
10-May-12,16515.62,16671.81,16377.02,16420.05
11-May-12,16355.59,16447.24,16233.76,16292.98
14-May-12,16318.36,16390.33,16124.82,16215.84
15-May-12,16146.9,16370.12,16123.04,16328.25
16-May-12,16132.68,16132.68,15974.6,16030.09
17-May-12,16119.08,16240.18,16007.92,16070.48
18-May-12,15868.07,16206.35,15809.71,16152.75
21-May-12,16187.66,16298.39,16149.61,16183.26
22-May-12,16344.34,16366.72,16000.84,16026.41
23-May-12,15995.14,16002.03,15847.03,15948.1
24-May-12,16033.9,16252.37,15934.77,16222.3
25-May-12,16213.24,16273.48,16118.35,16217.82
28-May-12,16289.82,16439.97,16273.49,16416.84
29-May-12,16500.04,16544.38,16410.21,16438.58
30-May-12,16391.9,16428.74,16295.31,16312.15
31-May-12,16224.86,16277.48,16086.06,16218.53
01-Jun-12,16217.48,16226.19,15933.48,15965.16
04-Jun-12,15808.88,16012.84,15748.98,15988.4
05-Jun-12,16065.37,16138.29,15979.77,16020.64
06-Jun-12,16100.36,16494.5,16100.36,16454.3
07-Jun-12,16578.01,16680.59,16519.89,16649.05
08-Jun-12,16611.52,16767.77,16485.02,16718.87
11-Jun-12,16804.89,16893.81,16627.48,16668.01
12-Jun-12,16570.51,16897.42,16553.47,16862.8
13-Jun-12,16865.72,16944.11,16792.87,16880.51
14-Jun-12,16857.23,16921.49,16658.98,16677.88
15-Jun-12,16701.28,16967.76,16701.28,16949.83
18-Jun-12,17039.54,17109.95,16636.09,16705.83
19-Jun-12,16681.89,16890,16681.89,16859.8
20-Jun-12,16903.96,16962.49,16840.1,16896.63
21-Jun-12,16855.6,17050.44,16799.63,17032.56
22-Jun-12,16882.74,17016.06,16807.8,16972.51
25-Jun-12,17038.77,17131.15,16853.05,16882.16
26-Jun-12,16873.09,16946.66,16815.87,16906.58
27-Jun-12,16975.76,17029.27,16930.8,16967.76
28-Jun-12,16985.58,17033.85,16918.87,16990.76
29-Jun-12,17134.61,17448.48,17134.61,17429.98
02-Jul-12,17438.68,17486.57,17363.04,17398.98
03-Jul-12,17457.95,17526.82,17351.5,17425.71
04-Jul-12,17473.26,17523.77,17372.45,17462.81
05-Jul-12,17478.16,17562.89,17423.45,17538.67
06-Jul-12,17546.04,17554.55,17425.47,17521.12
09-Jul-12,17449.93,17485.79,17343.55,17391.98
10-Jul-12,17431.68,17631.19,17424.29,17618.35
11-Jul-12,17553.97,17582.99,17466.99,17489.14
12-Jul-12,17297.06,17329.46,17181.17,17232.55
13-Jul-12,17269.2,17342.88,17182.29,17213.7
16-Jul-12,17241.98,17282.3,17079.63,17103.31
17-Jul-12,17176.93,17236.08,17074.63,17105.3
18-Jul-12,17113.37,17205.26,17038.59,17185.01
19-Jul-12,17288.34,17318.93,17244.76,17278.85
20-Jul-12,17275.2,17275.2,17129.69,17158.44
23-Jul-12,17047.73,17047.73,16849.28,16877.35
24-Jul-12,16907.74,16962.74,16839.7,16918.08
25-Jul-12,16899.01,16899.01,16736.6,16846.05
26-Jul-12,16887.84,16899.77,16598.48,16639.82
27-Jul-12,16860.16,16975.03,16760.72,16839.19
30-Jul-12,16919.14,17163.95,16919.14,17143.68
31-Jul-12,17186.61,17253.67,17004.09,17236.18
01-Aug-12,17244.44,17291.99,17189.16,17257.38
